Date,Open,High,Low,Close,Volume
2020-04-01,376.25,379.8,354.0,358.65,27745001
2020-04-03,360.2,362.3,324.0,325.45,41317685
2020-04-07,347.4,405.75,342.35,388.85,48093870
2020-04-08,383.75,427.7,373.5,391.35,64930772
2020-04-09,405.0,423.0,398.65,420.15,44090829
2020-04-13,417.95,427.9,402.0,418.95,33432493
2020-04-15,434.0,451.65,412.45,417.3,48315084
2020-04-16,408.6,427.0,400.7,422.55,42344581
2020-04-17,450.0,485.9,432.4,478.8,47831855
2020-04-20,482.0,483.45,451.25,455.95,42163860
2020-04-21,436.0,439.95,412.95,420.65,33572228
2020-04-22,418.55,434.55,412.0,431.15,36619626
2020-04-23,434.6,439.85,426.05,430.05,29418033
2020-04-24,416.0,419.65,401.25,403.95,35773432
2020-04-27,415.0,429.5,409.1,427.3,35987021
2020-04-28,438.0,458.4,435.25,455.45,43938651
2020-04-29,430.75,448.85,425.95,439.1,61500039
2020-04-30,451.0,461.9,440.4,444.9,40383418
2020-05-04,424.0,424.0,399.7,402.8,37854079
2020-05-05,414.0,418.75,386.5,389.0,50982763
2020-05-06,385.0,394.45,368.05,388.85,67511657
2020-05-07,387.0,402.25,382.7,397.35,41339427
2020-05-08,403.5,409.45,379.65,382.05,33506610
2020-05-11,391.0,393.5,376.85,379.55,30143521
2020-05-12,376.3,391.8,370.0,386.85,38411667
2020-05-13,411.0,416.45,399.6,414.0,48206377
2020-05-14,405.05,411.0,397.65,401.95,31604457
2020-05-15,402.75,403.9,386.8,388.55,25435045
2020-05-18,389.0,389.0,352.3,358.8,47864793
2020-05-19,368.8,372.5,350.1,354.5,42889862
2020-05-20,353.0,366.3,350.0,362.5,30722038
2020-05-21,363.0,369.0,355.7,357.2,24794934
2020-05-22,352.1,359.75,332.85,336.95,48368474
2020-05-26,342.0,347.7,336.35,341.3,30693404
2020-05-27,346.1,392.45,341.5,387.0,72445794
2020-05-28,390.0,407.65,387.0,390.95,72694994
2020-05-29,382.0,389.25,375.35,384.95,51056884
2020-06-01,394.3,409.5,392.55,396.95,44253432
2020-06-02,398.0,415.0,391.55,410.1,37509637
2020-06-03,422.0,432.0,405.25,409.55,49057169
2020-06-04,407.6,413.9,391.55,394.35,45553928
2020-06-05,399.0,409.9,390.5,405.3,39004703
2020-06-08,415.0,444.75,414.0,430.25,60387850
2020-06-09,434.95,442.5,416.5,420.05,46274196
2020-06-10,422.2,432.7,415.3,427.45,36163767
2020-06-11,426.5,435.55,408.7,413.45,45563053
2020-06-12,390.0,412.5,389.15,408.0,47814513
2020-06-15,405.95,405.95,383.65,389.6,39578304
2020-06-16,404.9,405.0,360.4,381.55,96190274
2020-06-17,377.45,397.75,375.3,389.6,56950626
2020-06-18,386.0,408.05,384.0,405.4,43774453
2020-06-19,407.5,422.3,407.5,417.05,52085893
2020-06-22,420.0,435.9,418.1,430.15,40454158
2020-06-23,430.5,445.0,430.4,443.65,30757921
2020-06-24,448.0,448.5,422.2,424.65,33577340
2020-06-25,419.0,428.7,410.35,421.7,49854504
2020-06-26,426.0,428.75,418.0,424.85,32611425
2020-06-29,415.0,415.8,402.35,404.8,36320111
2020-06-30,410.0,414.8,404.05,406.65,26951992
2020-07-01,410.0,437.35,406.65,433.25,53380997
2020-07-02,441.0,441.5,421.3,423.2,50362840
2020-07-03,430.0,431.6,423.65,428.45,31044470
2020-07-06,434.15,437.6,431.1,434.0,18425359
2020-07-07,433.5,449.0,426.2,447.35,37991906
2020-07-08,450.0,461.4,441.0,444.15,45878605
2020-07-09,447.85,457.0,446.05,453.75,29162682
2020-07-10,449.9,451.45,437.0,439.6,25676461
2020-07-13,443.95,446.4,432.75,440.05,21326996
2020-07-14,434.9,435.8,415.4,417.7,25686686
2020-07-15,424.0,444.45,422.75,426.65,43250557
2020-07-16,431.95,436.15,418.45,434.0,30183798
2020-07-17,434.0,439.9,424.6,433.1,33465094
2020-07-20,437.7,442.8,429.3,434.0,30400830
2020-07-21,440.0,451.0,438.5,446.2,43147781
2020-07-22,478.0,484.6,460.1,478.95,89612153
2020-07-23,472.95,474.75,459.2,460.85,40250274
2020-07-24,456.6,456.6,441.55,445.6,30567381
2020-07-27,447.0,448.0,429.9,431.55,21924614
2020-07-28,434.0,440.0,424.4,437.05,33057789
2020-07-29,435.75,447.0,434.3,440.9,24404909
2020-07-30,441.9,445.9,424.75,425.85,26862223
2020-07-31,429.0,434.45,421.3,431.65,27499643
2020-08-03,431.6,431.9,415.7,417.35,23824147
2020-08-04,421.85,431.2,417.35,429.15,24748403
2020-08-05,439.0,446.85,433.15,434.95,36936666
2020-08-06,436.0,438.3,427.1,433.0,33465332
2020-08-07,431.45,437.0,427.15,433.3,15570556
